#{"t_start": 1779630862.3473332, "env_id": "None"}
r,l,t
-14.571613,147,0.105825
-10.815593,128,0.185641
-18.932043,168,0.288022
-14.657301,118,0.36169
-11.484461,119,0.434957
-10.991412,119,0.506724
-15.750901,119,0.58519
-16.731073,128,0.668849
-17.688199,118,0.743986
-11.040818,131,0.82446
-17.761224,119,0.896522
-9.863323,119,0.968526
-13.351373,128,1.046831
-15.859104,127,1.124381
-13.160366,124,1.205788
-14.871493,128,1.294803
-12.519487,131,1.827699
-16.246007,131,1.907207
-15.99649,115,1.978016
-17.755237,131,2.058375
-14.885407,128,2.135884
-11.853541,127,2.212793
-11.821449,130,2.292128
-13.690358,128,2.37185
-9.893914,131,2.450555
-14.611222,118,2.521492
-15.337362,127,2.598569
-15.711539,119,2.670938
-14.400546,128,2.74858
-12.728155,131,2.826983
-18.591086,158,2.921587
-13.002601,126,3.440921
-12.211524,128,3.522076
-20.943741,163,3.621011
-10.231771,121,3.696454
-10.222908,121,3.769883
-12.816183,127,3.847378
-11.423566,128,3.924802
-15.65286,118,3.995504
-19.205134,164,4.096538
-11.132678,147,4.183921
-11.635,128,4.26137
-16.331429,128,4.337784
-17.928845,147,4.429023
-15.68317,118,4.499515
-14.267402,128,4.576572
-12.606712,128,4.653046
-10.000469,127,5.173413
-15.496782,131,5.253181
-14.712398,118,5.325274
-14.266312,128,5.403934
-13.924323,118,5.479659
-29.729008,314,5.669171
-11.704647,128,5.747504
-13.517671,119,5.819975
-13.723185,121,5.893752
-13.78506,131,5.97327
-14.316922,118,6.045631
-14.507792,115,6.114728
-15.976379,124,6.188719
-16.574744,168,6.290733
-12.202925,131,6.369178
-8.759709,128,6.900641
-20.397664,147,6.989545
-12.821379,119,7.061953
-13.083573,127,7.139541
-16.163435,141,7.224681
-13.935488,147,7.318312
-12.741616,118,7.392184
-20.723429,159,7.528996
-13.812098,141,7.614565
-15.129137,118,7.686974
-13.767532,147,7.780103
-18.745477,168,7.882661
-11.207285,119,7.953974
-11.583048,129,8.034707
-22.837428,163,8.579026
-10.448928,127,8.655276
-13.480564,116,8.72677
-13.686036,119,8.797984
-16.68816,118,8.870041
-14.721775,156,8.964685
-16.396404,125,9.040698
-8.693035,128,9.117231
-14.118539,117,9.19182
-12.7045,141,9.276988
-19.672989,158,9.371926
-15.169453,128,9.449221
-12.955663,128,9.53303
-13.177137,119,9.607341
-10.165575,128,9.684435
-12.027604,128,9.761646
-14.706309,131,10.281349
-10.059291,128,10.360233
-13.071116,128,10.437053
-13.079288,128,10.515239
-16.029503,158,10.610512
-17.937712,128,10.687226
-10.681274,128,10.764846
-15.135332,162,10.863597
-14.360141,128,10.941183
-12.291262,128,11.017515
-11.830394,126,11.09407
-14.430939,147,11.18249
-14.272076,118,11.2532
-13.875786,147,11.341952
